"","indiv","Block","Col","Row","Population","Family","TempTrt","WaterTrt","LLL_0512","LLL_0515","LLL_0520","LLL_0523","LLL_0526","LLL_0529","LLL_0602","LLL_0605","LLL_0609","LLL_0612","b0_LER","b1_LER","b2_LER","Height_0529","Height_0602","Height_0605","Height_0609","Height_0612","Height_0616","Height_0620","b0_SER","b1_SER","b2_SER","LERstart","LERend","LER_AbsGrowth","LER_RelGrowth","SERstart","SERend","SER_AbsGrowth","ID","Tleaf","Cond","Photo","resPhoto","LeavesDW_g","ShootsDW_g","RootsDW_g","Biomass","NFlwr","NBud","HarvestDate","MinGermDay","MaxGermDay","AvgGermDay","DiedFromStress","PopID"
"39","39","MM5-1","K","3","Redwood Creek","RWD2","Hot","Dry",4.24,7.66,18.29,31.35,38.69,59.92,72.7,81.1,NA,NA,1.38762051186803,0.224114783507374,-0.00407617404068803,2.9,8.2,NA,26,NA,NA,NA,-3.49763788606271,0.342137370418014,-0.00353360402980918,4.00530812189953,82.9716570877867,3.2902645402453,0.126286606530861,2.6600830793393,39.9694687327675,2.66495611810201,"MM5-1 K 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"RWD"
"40","40","MM5-1","L","3","Rock Creek","014aN1","Hot","Dry",NA,1.35,8.33,15.54,20.76,27.98,40.2,32.7,NA,NA,-0.404518313077858,0.346003742453288,-0.00722489441386673,0,4.5,NA,14.8,15,NA,NA,-3.38114715485922,0.259322246194113,-0.00174844693446586,0.667298162254806,42.015236378468,1.72283075900888,0.172606276520486,0.685445408698875,18.6403274056588,1.28249157121142,"MM5-1 L 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"RCC"
"41","41","MM5-1","M","3","Wawona","190aC2","Hot","Dry",1.98,5.72,17.63,25.01,41.58,74.19,89.2,76.7,NA,NA,0.767567506694264,0.301646240251327,-0.00613545420523064,2.6,8,NA,25.3,26.4,NA,NA,-3.31915865935842,0.328523326130513,-0.00349879472170259,2.15451902134685,87.6240628695251,3.56123099367409,0.154395339325791,2.50638716718078,32.2057390233062,2.12138227543753,"MM5-1 M 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"WNA"
"42","42","MM5-1","N","3","West Fork Mojave River","WFM5","Hot","Dry",1.79,5.38,15.01,31.18,48.3,68.83,74.4,80,NA,NA,0.673313924573598,0.316447451869821,-0.00663493492202977,3.4,7,NA,17.9,15,NA,NA,-2.90855529286092,0.306981220317437,-0.00365181366179656,1.96072425838997,85.3132907635962,3.47302360438359,0.157209013741107,2.50696609840959,21.1640056958832,1.33264568553383,"MM5-1 N 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"WFM"
"43","43","MM5-1","A","4","Whitewater Canyon","WWC7","Hot","Dry",2.2,4.74,11.48,18.29,26.35,41.47,40.8,61.7,NA,NA,0.8181511935731,0.233618449311269,-0.00409627328291007,1.9,4,NA,20.1,19,NA,NA,-3.24527503987466,0.294461517513846,-0.00280672198112142,2.2663060008312,58.2964130705596,2.33458779457202,0.135307890521427,1.58423132847403,23.1859570900544,1.54298041154145,"MM5-1 A 4",36.031204988,0.0244613238,1.999697526,0.51821869738365,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"WWC"
"44","44","MM5-1","B","4","Cottonwood Creek","346a","Hot","Dry",1.78,4.66,15.58,20.4,41.77,66.06,87.9,99.7,NA,NA,0.619668680165723,0.301409983526841,-0.00573646946653206,2.4,6,NA,18,NA,NA,NA,-3.31090283061873,0.313835003865292,-0.00316203558403706,1.85831224413422,94.5663658449748,3.86283556670169,0.163734716330072,2.03576651559576,28.3492236050811,1.87953264924896,"MM5-1 B 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"CTC"
"45","45","MM5-1","C","4","Cuyamaca Rancho","CUR9","Hot","Dry",NA,0.75,7.06,16,23.41,41.73,34.7,66.3,NA,NA,-1.10098939116714,0.429482973525725,-0.00898637119469679,0,3.1,NA,15.2,18.6,NA,NA,-3.52689667114679,0.257823892121531,-0.00147611811237786,0.332541906857254,56.2863562314524,2.33140893019147,0.213810064853002,0.53650654220605,20.0540823801772,1.39411255985508,"MM5-1 C 4",34.54132614,0.4598090942,9.0617585982,0.177690493341902,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"CUR"
"46","46","MM5-1","D","4","Deep Creek","DPC5","Hot","Dry",2.6,4.73,7.89,16.34,24.98,32.82,43.9,81.9,NA,NA,0.896450450451536,0.197961746583306,-0.0025859881172303,0,3.9,NA,10.1,10.5,NA,NA,-3.13116192781205,0.238166693713127,-0.00164993458567666,2.4508881043688,63.9437130584981,2.56220103975539,0.135898031769778,0.554013237191689,13.3883440877565,0.916737917897489,"MM5-1 D 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"DPC"
"47","47","MM5-1","E","4","Grade Road Palomar","GRP5","Hot","Dry",1.81,4.07,12.23,25.96,42.58,62.94,79.4,86.9,NA,NA,0.556891932225301,0.307942279152449,-0.00603216918347628,1.6,4.5,NA,17.6,17.7,NA,NA,-3.19855028892431,0.289268989911684,-0.00275878762848913,1.74523973858309,87.617187427019,3.5779978203515,0.163170218749018,1.51364254661379,21.5919463677632,1.43416455865353,"MM5-1 E 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"GRP"
"48","48","MM5-1","F","4","Hauser Creek","HAU7","Hot","Dry",2.69,5.18,14.14,19.61,28.15,30.5,51.4,67.7,NA,NA,1.01192994273313,0.214094630024416,-0.00351401514608578,1.4,4.5,NA,28.1,23.6,NA,NA,-3.48844751142599,0.306768980846796,-0.00270536049135273,2.7509049842761,61.9376565214319,2.46611464738149,0.129758266518357,1.5722370839802,29.6165117357554,2.0031624751268,"MM5-1 F 4",34.9540123,0.2267597778,8.8920114314,0.60494824623288,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"HAU"
"49","49","MM5-1","G","4","Little Jameson","LIJ5","Hot","Dry",NA,2.36,7.07,10.82,17.24,26.82,27.7,50.5,NA,NA,0.203463354463364,0.243400075558593,-0.00392893054991045,0,2,NA,8.5,10,NA,NA,-3.12791369858365,0.220273128085155,-0.00122863488608088,1.22564024257383,43.9038129262342,1.77825719515252,0.149105742360742,0.299076979849354,11.4265479351952,0.794819353953276,"MM5-1 G 4",31.975188444,0.7523031796,5.8888213526,-0.564046195287283,0.0258,0.0827,0.0138,0.1223,0,0,56,12,17,14.5,FALSE,"LIJ"
"50","50","MM5-1","H","4","Middle Yuba","MYU1","Hot","Dry",1.78,3.33,4.9,11.93,16.72,21.11,31.4,31.9,NA,NA,0.531515139609231,0.196228891457616,-0.00283035356085255,0,0.5,NA,8.1,9.5,NA,NA,-3.18207539424159,0.200205120740355,-0.000662298758178228,1.7015083793133,36.9928586124485,1.47047292638064,0.128300405997155,0.0304620740548995,9.88966573827098,0.704228833158291,"MM5-1 H 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,TRUE,"MYU"
"51","51","MM5-1","I","4","Mill Creek","MIL1","Hot","Dry",NA,3.81,12.28,21.03,33.5,40.79,48.8,51.9,NA,NA,0.605578709319823,0.275370624826182,-0.00546909264540382,1.4,3.6,NA,22.1,24.9,NA,NA,-3.47091697762275,0.297313654992123,-0.00250840963661734,1.83231227831245,58.2227598726204,2.34960198309617,0.14411240133649,1.35958267850933,27.0846922001808,1.83750782297654,"MM5-1 I 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,TRUE,"MIL"
"52","52","MM5-1","J","4","North Fork Middle Tule","NMT6","Hot","Dry",2.87,7.01,16.96,29.43,45.04,67.51,72.5,96.2,NA,NA,1.08904256180653,0.263456645423759,-0.00504748636445155,4.7,7,NA,24.5,28,NA,NA,-3.20618559788064,0.336484108985595,-0.00387197522768275,2.97142775177368,90.4366771727058,3.64438539253884,0.142316972676922,3.03514975112014,32.243311430107,2.08629726278477,"MM5-1 J 4",30.895834348,1.5741383244,12.747823844,-0.257729397632262,2.32,3.35,0.4287,6.0987,0,0,56,10,10,10,FALSE,"NMT"
