"","indiv","Block","Col","Row","Population","Family","TempTrt","WaterTrt","variable","LLL","Day","DayN"
"262","280","MM5-3","E","7","West Fork Mojave River","WFM11","Hot","Wet","LLL_0512",3.29,2014-05-12,0
"268","288","MM5-3","F","7","Whitewater Canyon","WWC1","Hot","Wet","LLL_0512",2.61,2014-05-12,0
"269","289","MM5-4","A","1","Mill Creek","MIL2","Hot","Wet","LLL_0512",1.51,2014-05-12,0
"270","290","MM5-4","C","1","Paradise Creek","PRD4","Hot","Wet","LLL_0512",1.36,2014-05-12,0
"271","291","MM5-4","D","1","Rainbow Pool","RBW2","Hot","Wet","LLL_0512",1.07,2014-05-12,0
"272","292","MM5-4","E","1","Redwood Creek","RWD7","Hot","Wet","LLL_0512",1.09,2014-05-12,0
"274","295","MM5-4","H","1","West Fork Mojave River","WFM12","Hot","Wet","LLL_0512",2.98,2014-05-12,0
"275","296","MM5-4","I","1","Whitewater Canyon","WWC12","Hot","Wet","LLL_0512",3.16,2014-05-12,0
"277","298","MM5-4","K","1","Cuyamaca Rancho","CUR10","Hot","Wet","LLL_0512",2.78,2014-05-12,0
"278","299","MM5-4","L","1","Deep Creek","DPC4","Hot","Wet","LLL_0512",2.42,2014-05-12,0
"279","300","MM5-4","M","1","Grade Road Palomar","GRP4","Hot","Wet","LLL_0512",1.89,2014-05-12,0
"280","301","MM5-4","N","1","Hauser Creek","HAU10","Hot","Wet","LLL_0512",1.91,2014-05-12,0
"281","302","MM5-4","B","1","North Fork Middle Tule","NMT8","Hot","Wet","LLL_0512",3.23,2014-05-12,0
"282","303","MM5-4","A","2","Little Jameson","LIJ12","Hot","Wet","LLL_0512",1.6,2014-05-12,0
"283","304","MM5-4","B","2","Middle Yuba","MYU2","Hot","Wet","LLL_0512",3.81,2014-05-12,0
"284","305","MM5-4","C","2","Mill Creek","MIL10","Hot","Wet","LLL_0512",1.55,2014-05-12,0
"285","306","MM5-4","D","2","North Fork Middle Tule","NMT5","Hot","Wet","LLL_0512",1.67,2014-05-12,0
"286","307","MM5-4","E","2","Paradise Creek","PRD6","Hot","Wet","LLL_0512",0.91,2014-05-12,0
"288","309","MM5-4","G","2","Redwood Creek","RWD8","Hot","Wet","LLL_0512",1.19,2014-05-12,0
"289","310","MM5-4","H","2","Rock Creek","011aN1","Hot","Wet","LLL_0512",4.27,2014-05-12,0
"290","311","MM5-4","I","2","Wawona","187aC2","Hot","Wet","LLL_0512",0.96,2014-05-12,0
"291","312","MM5-4","J","2","West Fork Mojave River","WFM6","Hot","Wet","LLL_0512",3.97,2014-05-12,0
"292","313","MM5-4","K","2","Whitewater Canyon","WWC2","Hot","Wet","LLL_0512",1.2,2014-05-12,0
"294","315","MM5-4","M","2","Cuyamaca Rancho","CUR12","Hot","Wet","LLL_0512",1.14,2014-05-12,0
"295","316","MM5-4","N","2","Deep Creek","DPC2","Hot","Wet","LLL_0512",0.94,2014-05-12,0
"296","317","MM5-4","A","3","Grade Road Palomar","GRP6","Hot","Wet","LLL_0512",0.88,2014-05-12,0
"297","318","MM5-4","B","3","Hauser Creek","HAU12","Hot","Wet","LLL_0512",1.06,2014-05-12,0
"300","321","MM5-4","E","3","Mill Creek","MIL4","Hot","Wet","LLL_0512",3.9,2014-05-12,0
"307","328","MM5-4","L","3","West Fork Mojave River","WFM10","Hot","Wet","LLL_0512",1.27,2014-05-12,0
"308","329","MM5-4","M","3","Whitewater Canyon","WWC8","Hot","Wet","LLL_0512",10.12,2014-05-12,0
"310","331","MM5-4","A","4","Cuyamaca Rancho","CUR6","Hot","Wet","LLL_0512",4.17,2014-05-12,0
"312","333","MM5-4","C","4","Grade Road Palomar","GRP2","Hot","Wet","LLL_0512",4.25,2014-05-12,0
"313","334","MM5-4","D","4","Hauser Creek","HAU8","Hot","Wet","LLL_0512",1.4,2014-05-12,0
"316","337","MM5-4","G","4","Mill Creek","MIL6","Hot","Wet","LLL_0512",1.46,2014-05-12,0
"317","338","MM5-4","H","4","North Fork Middle Tule","NMT3","Hot","Wet","LLL_0512",1.98,2014-05-12,0
"319","340","MM5-4","J","4","Rainbow Pool","RBW2","Hot","Wet","LLL_0512",4.03,2014-05-12,0
"320","341","MM5-4","K","4","Redwood Creek","RWD2","Hot","Wet","LLL_0512",4.23,2014-05-12,0
"321","342","MM5-4","L","4","Rock Creek","015aN1","Hot","Wet","LLL_0512",2.29,2014-05-12,0
"322","343","MM5-4","M","4","Wawona","189aC2","Hot","Wet","LLL_0512",1.24,2014-05-12,0
"323","344","MM5-4","N","4","West Fork Mojave River","WFM8","Hot","Wet","LLL_0512",1.58,2014-05-12,0
"324","345","MM5-4","A","5","Whitewater Canyon","WWC6","Hot","Wet","LLL_0512",2.12,2014-05-12,0
"325","346","MM5-4","B","5","Cottonwood Creek","371a","Hot","Wet","LLL_0512",2.26,2014-05-12,0
"327","348","MM5-4","D","5","Deep Creek","DPC2","Hot","Wet","LLL_0512",1.03,2014-05-12,0
"328","349","MM5-4","E","5","Grade Road Palomar","GRP6","Hot","Wet","LLL_0512",2.48,2014-05-12,0
"329","350","MM5-4","F","5","Hauser Creek","HAU4","Hot","Wet","LLL_0512",7.27,2014-05-12,0
"330","351","MM5-4","G","5","Little Jameson","LIJ8","Hot","Wet","LLL_0512",1,2014-05-12,0
"332","353","MM5-4","I","5","Mill Creek","MIL8","Hot","Wet","LLL_0512",0.86,2014-05-12,0
"333","354","MM5-4","J","5","North Fork Middle Tule","NMT1","Hot","Wet","LLL_0512",2.65,2014-05-12,0
"335","356","MM5-4","L","5","Rainbow Pool","RBW4","Hot","Wet","LLL_0512",1.9,2014-05-12,0
"337","358","MM5-4","N","5","Rock Creek","007aN1","Hot","Wet","LLL_0512",2.78,2014-05-12,0
"338","359","MM5-4","A","6","Wawona","193aC2","Hot","Wet","LLL_0512",6.15,2014-05-12,0
"339","360","MM5-4","B","6","West Fork Mojave River","WFM4","Hot","Wet","LLL_0512",1.65,2014-05-12,0
"340","361","MM5-4","C","6","Whitewater Canyon","WWC10","Hot","Wet","LLL_0512",4.93,2014-05-12,0
"342","363","MM5-4","E","6","Cuyamaca Rancho","CUR2","Hot","Wet","LLL_0512",1.69,2014-05-12,0
"343","364","MM5-4","F","6","Deep Creek","DPC6","Hot","Wet","LLL_0512",0.82,2014-05-12,0
"345","366","MM5-4","H","6","Hauser Creek","HAU6","Hot","Wet","LLL_0512",1.5,2014-05-12,0
"348","369","MM5-4","K","6","Mill Creek","MIL12","Hot","Wet","LLL_0512",1.85,2014-05-12,0
"349","370","MM5-4","L","6","North Fork Middle Tule","NMT4","Hot","Wet","LLL_0512",4.29,2014-05-12,0
"350","371","MM5-4","M","6","Paradise Creek","PRD7","Hot","Wet","LLL_0512",3.48,2014-05-12,0
"351","372","MM5-4","A","7","Redwood Creek","RWD1","Hot","Wet","LLL_0512",1.17,2014-05-12,0
"353","374","MM5-4","C","7","Wawona","183aC2","Hot","Wet","LLL_0512",3.2,2014-05-12,0
"354","375","MM5-4","D","7","West Fork Mojave River","WFM2","Hot","Wet","LLL_0512",3.07,2014-05-12,0
"356","378","MM5-4","G","7","Cuyamaca Rancho","CUR8","Hot","Wet","LLL_0512",2.37,2014-05-12,0
"359","381","MM5-4","J","7","Hauser Creek","HAU2","Hot","Wet","LLL_0512",4.45,2014-05-12,0
"363","386","MM7-5","B","1","Cuyamaca Rancho","CUR11","Cool","Dry","LLL_0512",2.19,2014-05-12,0
"364","387","MM7-5","C","1","Deep Creek","DPC5","Cool","Dry","LLL_0512",4.1,2014-05-12,0
"365","388","MM7-5","D","1","Grade Road Palomar","GRP7","Cool","Dry","LLL_0512",0.58,2014-05-12,0
"368","391","MM7-5","G","1","Middle Yuba","MYU5","Cool","Dry","LLL_0512",2.69,2014-05-12,0
"369","392","MM7-5","H","1","Mill Creek","MIL11","Cool","Dry","LLL_0512",2.44,2014-05-12,0
"372","395","MM7-5","K","1","Rainbow Pool","RBW1","Cool","Dry","LLL_0512",2.93,2014-05-12,0
"374","397","MM7-5","M","1","Rock Creek","004aN1","Cool","Dry","LLL_0512",0.83,2014-05-12,0
"375","398","MM7-5","N","1","Wawona","182aC2","Cool","Dry","LLL_0512",2.1,2014-05-12,0
"376","399","MM7-5","A","2","West Fork Mojave River","WFM5","Cool","Dry","LLL_0512",4.67,2014-05-12,0
"377","400","MM7-5","B","2","Whitewater Canyon","WWC11","Cool","Dry","LLL_0512",2.61,2014-05-12,0
"379","402","MM7-5","D","2","Cuyamaca Rancho","CUR9","Cool","Dry","LLL_0512",2.02,2014-05-12,0
"380","403","MM7-5","E","2","Deep Creek","DPC3","Cool","Dry","LLL_0512",1.13,2014-05-12,0
"381","404","MM7-5","F","2","Grade Road Palomar","GRP3","Cool","Dry","LLL_0512",3.29,2014-05-12,0
"382","405","MM7-5","G","2","Hauser Creek","HAU5","Cool","Dry","LLL_0512",0.8,2014-05-12,0
"384","407","MM7-5","I","2","Middle Yuba","MYU3","Cool","Dry","LLL_0512",2.05,2014-05-12,0
"386","409","MM7-5","K","2","North Fork Middle Tule","NMT7","Cool","Dry","LLL_0512",0.94,2014-05-12,0
"387","410","MM7-5","L","2","Paradise Creek","PRD1","Cool","Dry","LLL_0512",2.57,2014-05-12,0
"389","412","MM7-5","N","2","Redwood Creek","RWD2","Cool","Dry","LLL_0512",3.66,2014-05-12,0
"390","413","MM7-5","A","3","Rock Creek","014aN1","Cool","Dry","LLL_0512",2.88,2014-05-12,0
"392","415","MM7-5","C","3","West Fork Mojave River","WFM11","Cool","Dry","LLL_0512",3.22,2014-05-12,0
"393","416","MM7-5","D","3","Whitewater Canyon","WWC9","Cool","Dry","LLL_0512",2.58,2014-05-12,0
"396","419","MM7-5","G","3","Deep Creek","DPC1","Cool","Dry","LLL_0512",1.06,2014-05-12,0
"397","420","MM7-5","H","3","Grade Road Palomar","GRP3","Cool","Dry","LLL_0512",3.41,2014-05-12,0
